Category,Question,OptionA,OptionB,OptionC,OptionD,Answer,DifficultyLevel
Natural Hazards,What is the primary cause of earthquakes?,Volcanic activity,Tectonic plate movement,Wind erosion,Human activities,Tectonic plate movement,10
Natural Hazards,Which natural hazard is measured using the Richter scale?,Tornadoes,Earthquakes,Hurricanes,Floods,Earthquakes,10
Natural Hazards,What is the main gas emitted during a volcanic eruption?,Oxygen,Carbon dioxide,Sulfur dioxide,Nitrogen,Sulfur dioxide,10
Natural Hazards,Which of the following is a human-induced natural hazard?,Tornado,Earthquake,Nuclear meltdown,Volcanic eruption,Nuclear meltdown,10
Natural Hazards,Which of the following is a sudden and violent shaking of the ground; often causing damage?,Tornado,Earthquake,Hurricane,Flood,Earthquake,10
Natural Hazards,What is the primary cause of hurricanes?,Tectonic activity,Solar flares,Warm ocean water,Desertification,Warm ocean water,10
Natural Hazards,Which natural hazard is characterized by a rapid flow of mud and debris down a slope?,Avalanche,Landslide,Erosion,Sinkhole,Landslide,10
Natural Hazards,What is the name for the process of a river overflowing its banks and flooding the surrounding area?,Evaporation,Condensation,Infiltration,Flooding,Flooding,10
Natural Hazards,Which natural hazard is associated with the eruption of ash and rocks from a volcano?,Pyroclastic flow,Lahar,Lava flow,Caldera collapse,Pyroclastic flow,10
Natural Hazards,What is the primary source of energy that drives the Earth's weather system?,Geothermal energy,Solar energy,Wind energy,Nuclear energy,Solar energy,10
Natural Hazards,In which layer of the Earth do earthquakes commonly occur?,Crust,Mantle,Outer core,Inner core,Crust,20
Natural Hazards,What is the primary factor that determines the severity of a hurricane?,Wind speed,Temperature,Atmospheric pressure,Humidity,Atmospheric pressure,20
Natural Hazards,Which natural hazard is often triggered by heavy rainfall and can result in the rapid rise of water levels in rivers?,Earthquake,Flood,Landslide,Tornado,Flood,20
Natural Hazards,How does deforestation contribute to the occurrence of landslides?,It increases soil fertility,It reduces water runoff,It stabilizes the soil,It decreases vegetation holding the soil together,It decreases vegetation holding the soil together,20
Natural Hazards,Which technology is commonly used to monitor and predict tornadoes?,Radar,Sonar,Lidar,Seismometer,Radar,20
Natural Hazards,What is the main factor that influences the intensity of a volcanic eruption?,Altitude,Proximity to the equator,Type of rock,Amount of dissolved gases in magma,Amount of dissolved gases in magma,20
Natural Hazards,"Which natural hazard is often associated with the ""Ring of Fire""?",Typhoon,Earthquake,Hurricane,Tornado,Earthquake,20
Natural Hazards,What is the primary cause of coastal erosion?,Wind erosion,Human activities,Wave action,Glacial movement,Wave action,20
Natural Hazards,Which atmospheric phenomenon is associated with the warming of ocean waters and influences climate patterns worldwide?,El Niño,La Niña,Monsoon,Tornado,El Niño,20
Natural Hazards,How does the construction of dams contribute to the risk of earthquakes?,It increases tectonic activity,It alters the balance of Earth's crust,It reduces water pressure,It strengthens the Earth's crust,It alters the balance of Earth's crust,20
Natural Hazards,What is the primary mechanism behind the formation of a tornado?,Rapid cooling of air,Convergence of air masses,Upwelling of warm air,Coriolis effect,Upwelling of warm air,30
Natural Hazards,What is the main factor that determines whether a volcanic eruption is explosive or effusive?,Type of magma,Surrounding temperature,Earth's magnetic field,Proximity to the ocean,Type of magma,30
Natural Hazards,How does urbanization contribute to the impact of floods?,It increases permeable surfaces,It decreases runoff,It improves drainage systems,It increases impervious surfaces,It increases impervious surfaces,30
Natural Hazards,What is the primary cause of the formation of sinkholes?,Erosion by wind,Human activities,Dissolution of soluble rocks,Tectonic plate movement,Dissolution of soluble rocks,30
Natural Hazards,What role do fault lines play in the occurrence of earthquakes?,They prevent earthquakes,They absorb seismic energy,They are the source of earthquakes,They regulate volcanic activity,They are the source of earthquakes,30
Natural Hazards,How does climate change influence the frequency and intensity of natural hazards?,It has no effect,It reduces the impact,It increases the impact,It stabilizes the climate,It increases the impact,30
Natural Hazards,Which type of landslide involves the movement of a large mass of rock and soil downslope?,Rockslide,Mudflow,Debris flow,Creep,Rockslide,30
Natural Hazards,What is the primary factor influencing the development of hurricanes?,Wind patterns,Ocean currents,Atmospheric pressure,Solar radiation,Solar radiation,30
Natural Hazards,In which layer of the Earth do most volcanic eruptions occur?,Crust,Mantle,Outer core,Inner core,Crust,30
Natural Hazards,How does human settlement in flood-prone areas contribute to the impact of floods?,It reduces vulnerability,It promotes sustainable development,It increases exposure to risk,It improves disaster preparedness,It increases exposure to risk,30
Living World,What is the process by which green plants make their own food?,Photosynthesis,Respiration,Transpiration,Excretion,Photosynthesis,10
Living World,Which of the following is a primary consumer in a food chain?,Rabbit,Fox,Grass,Snake,Rabbit,10
Living World,What is the main function of the heart in the human body?,Pumping blood,Digesting food,Breathing,Filtering water,Pumping blood,10
Living World,What is the role of bacteria in the nitrogen cycle?,Convert nitrogen to a form plants can use,Produce oxygen,Decompose dead organisms,Fix carbon dioxide,Convert nitrogen to a form plants can use,10
Living World,Which biome is characterized by cold winters and coniferous forests?,Taiga,Tundra,Tropical Rainforest,Desert,Taiga,10
Living World,What is the source of energy in most ecosystems?,Sunlight,Heat,Electricity,Wind,Sunlight,10
Living World,Which gas is essential for photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide,10
Living World,What is the primary function of the kidneys in the human body?,Filtering waste from the blood,Producing insulin,Digesting food,Controlling body temperature,Filtering waste from the blood,10
Living World,In which part of a flower are the ovules found?,Ovary,Petal,Stamen,Leaf,Ovary,10
Living World,What is the process by which water is lost from plant leaves?,Transpiration,Respiration,Photosynthesis,Evaporation,Transpiration,10
Living World,Which gas is produced during anaerobic respiration in animals?,Lactic acid,Carbon dioxide,Oxygen,Glucose,Lactic acid,20
